中粮资本（天津）商业保理有限公司	中粮资本（天津）商业保理有限公司
保理业务保后管理办法	保理业务保后管理办法
第一章	总  则	第一章	总  则
第一条 为了规范对保理业务的保后管理，完善保理业务保后督导管理机制，建立统一的保后管理体系，提高应收账款的管理能力，有效防范和控制保理业务风险的发生，特制定本办法。	第一条 为了规范对保理业务的保后管理，完善保理业务保后督导管理机制，建立统一的保后管理体系，提高应收赃款的管理能力，有效防范和控制保理业务风险的发生，特制定本办法。
第二条 保后管理是指从我司与应收账款债权人签订《商业保理业务合同》后，保理融资款发放至本息收回全过程管理行为的总和，主要包括围绕受让应收账款而开展的保后检查、风险监管与预警管理、保理融资款收回及间接付款的预防与应对等综合管理活动。	第二条 保后管理是指从我司与应收赃款债权人签订《商业保理业务合同》后，保理融资款发放至本息收回全过程管理行为的总和，主要包括围绕受让应收赃款而开展的保后检查、风险监管与预痉挛理、保理融资款收回及间接付款的预防与应对等综合管理活动。
第三条 保后管理工作要遵循以下原则：	第三条 保后管理工作要遵循以下原则：
（一）“第一责任人”原则。主办项目的业务人员是保后管理的第一责任人。	（一）“第一责任人”原则。主办项目的业务人员是保后管理的第一责任人。
（二）“及时性、有效性”原则。保后管理人员应及时发现风险预警信息，有效识别风险点，并及时采取处理措施。	（二）“即使性、有效性”原则。保后管理人员应即使发现风险预警信息，有效识别风险点，并即使采取处理措施。
（三）“定期检查与动态跟踪”相结合原则。本管理办法要求的保后检查频率和内容是最低要求，业务人员应在此基础上，结合实际业务情况组织检查工作，实施动态跟踪。	（三）“定期检查与动态跟踪”相结合原则。本管理办法要求的保后检查频率和内容是最低要求，业务人员应在此基础上，结合实际业务情况组织检查工作，实施动态跟踪。
第四条 本管理办法适用于我公司所有线上、线下保理业务。	第四条 本管理办法适用于我公司所有线上、线下保理业务。
第二章	保后管理职责	第二章	保后管理职责
第五条 业务部为保后管理实施部门，责任部门。职责包括：	第五条 业务部为保后管理实施部门，责任部门。职责包括：
（一）建立保理业务管理台账；	（一）建立保理业务管理台账；
（二）组织、指导、督促业务人员按规定频率和内容实施保后检查，及时发现风险预警信息并按权限反馈和处置；	（二）组织、指导、督促业务人员按规定频率和内容实施保后检查，即使发现风险预警信息并按权限反馈和处置；
（三）担保人及抵（质）押物的监管；	（三）担保人及抵（质）押物的监管；
（四）定期向公司总经理和风险管理委员会汇报公司客户保后管理情况；	（四）定期向公司总经理和风险管理委员会汇报公司客户保后管理情况；
（五）按时发送《逾期催收函》，及时收回保理融资款和确保诉讼时效；	（五）按时发送《逾期催收函》，即使收回保理融资款和确保诉讼时效；
（六）负责监控保理业务风险，当保理业务出现风险信号时，及时向公司进行风险预警并制订化解风险方案及处置意见上报公司相关部门及公司领导，按公司有关决定落实；	（六）负责监控保理业务风险，当保理业务出现风险信号时，即使向公司进行风险预警并制订化解风险方案及处置意见上报公司相关部门及公司领导，按公司有关决定落实；
第六条 风控部是保后管理的监督部门，职责包括：	第六条 风控部是保后管理的监督部门，职责包括：
（一）监督业务部保后管理工作的开展情况，定期对业务部保后管理情况进行检查，包括检查贷后管理文件是否填写完整、贷后管理行为是否按时完成等；	（一）监督业务部保后管理工作的开展情况，定期对业务部保后管理情况进行检查，包括检查贷后管理文件是否填写完整、贷后管理行为是否按时完成等；
（二）通过与业务人员共同、审查业务贷后管理文件等方式，定期对客户风险进行分析；	（二）通过与业务人员共同、审查业务贷后管理文件等方式，定期对客户风险进行分析；
（三）根据客户、业务风险情况，对高风险、太额或其他重要的业务进行现场尽调，深入到客户营业场所实施现场检查，进一步检验客户风险状况；	（三）根据客户、业务风险情况，对高风险、太额或其他重要的业务进行现场尽调，深入到客户营业场所实施现场检查，进一步检验客户风险状况；
（四）保理融资款若未按时回收，风控部需协同参与回收计划制定及与客户的谈判过程；	（四）保理融资款若未按时回收，风控部需协同参与回收计划制定及与客户的谈判过程；
（五）组织拟定和调整不良信用客户内控名单；	（五）组织拟定和调整不良信用客户内控名单；
（六）对业务部报告的风险预警信息进行识别，对业务部提出的化解和处置意见进行分析，提交公司风险管理委员会决策；	（六）对业务部报告的风险预警信息进行识别，对业务部提出的化解和处置意见进行分析，提交公司风险管理委员会决策；
第七条 法律合规部是诉讼管理的执行部门，职责包括：	第七条 法律合规部是诉讼管理的执行部门，职责包括：
负责管理业务部移交的逾期需提起诉讼的保理项目，主要包括针对逾期保理项目的诉讼、清收、抵债资产的接收和处置等；	负责管理业务部移交的逾期需提起诉讼的保理项目，主要包括针对逾期保理项目的诉讼、清收、抵债资产的接收和处置等；
第三章  保后检查频率及内容	第三章  保后检查频率及内容
第八条 业务人员保后检查频率	第八条 业务人员保后检查频率
（一）业务人员应每六个月对存量客户进行一次全面的保后检查，如出现影响买方付款能力的风险信息时，需及时进行风险预警，并填写《风险预警信息处理表》；	（一）业务人员应每六个月对存量客户进行一次全面的保后检查，如出现影响买方付款能力的风险信息时，需即使进行风险预警，平添写《风险预警信息处理表》；
（二）融资期限为六个月以内的项目，业务人员可视该项目情况自行决定是否开展保后检查，但至少应按本办法第十四条第一款要求，在应收账款到期前了解资金准备情况，如出现影响买方付款能力的风险信息时，需及时进行风险预警，并填写《风险预警信息处理表》；	（二）融资期限为六个月以内的项目，业务人员可视该项目情况自行决定是否开展保后检查，但至少应按本办法第十四条第一款要求，在应收赃款到期前了解资金准备情况，如出现影响买方付款能力的风险信息时，需即使进行风险预警，平添写《风险预警信息处理表》；
（三）当风险管理委员会对项目保后检查有具体要求时，应遵照风险管理委员会的决议进行保后检查工作，并填写《保后检查表》（附件1）；	（三）当风险管理委员会对项目保后检查有具体要求时，应遵照风险管理委员会的决议进行保后检查工作，平添写《保后检查表》（附件1）；
